X,Y,OBJECTID,STNCODE,STNNAME,CITY2,STATE,STFIPS,station,station_name,Total Riders
-77.797855,35.938001,141,RMT,"Rocky Mount, North Carolina",Rocky Mount,NC,37,"Rocky Mount, North Carolina",Rocky Mount,"51,365"
-83.541721,41.638345,137,TOL,"Toledo, Ohio",Toledo,OH,39,"Toledo, Ohio",Toledo,"50,960"
-78.884788,35.054993,142,FAY,"Fayetteville, North Carolina",Fayetteville,NC,37,"Fayetteville, North Carolina",Fayetteville,"50,528"
-119.522975,34.39678,198,CPN,"Carpinteria, California",Carpinteria,CA,6,"Carpinteria, California",Carpinteria,"50,278"
-73.942887,42.814606,139,SDY,"Schenectady, New York",Schenectady,NY,36,"Schenectady, New York",Schenectady,"50,130"
-122.511255,48.720263,146,BEL,"Bellingham, Washington",Bellingham,WA,53,"Bellingham, Washington",Bellingham,"49,319"
-81.696172,41.505787,151,CLE,"Cleveland, Ohio",Cleveland,OH,39,"Cleveland, Ohio",Cleveland,"48,657"
-70.449139,43.496191,163,SAO,"Saco, Maine",Saco,ME,23,"Saco, Maine",Saco,"48,158"
-77.429512,37.534209,167,RVM,"Richmond (Main St), Virginia",Richmond,VA,51,"Richmond (Main St), Virginia",Richmond / Main Street Station,"48,033"
-117.415455,47.65672,148,SPK,"Spokane, Washington",Spokane,WA,53,"Spokane, Washington",Spokane,"46,784"
-96.807235,32.776094,171,DAL,"Dallas, Texas",Dallas,TX,48,"Dallas, Texas",Dallas,"46,094"
-71.82978,41.381081,166,WLY,"Westerly, Rhode Island",Westerly,RI,44,"Westerly, Rhode Island",Westerly,"45,788"
-76.502641,40.10896,145,MJY,"Mount Joy, Pennsylvania",Mount Joy,PA,42,"Mount Joy, Pennsylvania",Mount Joy,"45,592"
-111.908349,40.761661,174,SLC,"Salt Lake City, Utah",Salt Lake City,UT,49,"Salt Lake City, Utah",Salt Lake City,"45,195"
-118.258868,34.123706,158,GDL,"Glendale, California",Glendale,CA,6,"Glendale, California",Glendale,"44,815"
-122.007496,37.559093,175,FMT,"Fremont (Trains, Capitol Buses), California",Fremont,CA,6,"Fremont (Trains, Capitol Buses), California",Fremont - Trains,"44,559"
-75.922123,39.95918,152,PAR,"Parkesburg, Pennsylvania",Parkesburg,PA,42,"Parkesburg, Pennsylvania",Parkesburg,"44,513"
-97.512749,35.46549,161,OKC,"Oklahoma City, Oklahoma",Oklahoma City,OK,40,"Oklahoma City, Oklahoma",Oklahoma City,"44,386"
-118.695163,34.270204,164,SIM,"Simi Valley, California",Simi Valley,CA,6,"Simi Valley, California",Simi Valley,"44,174"
-84.39967,42.248113,231,JXN,"Jackson, Michigan",Jackson,MI,26,"Jackson, Michigan","Jackson, MS","43,950"
-107.323218,39.547903,156,GSC,"Glenwood Springs, Colorado",Glenwood Springs,CO,8,"Glenwood Springs, Colorado",Glenwood Springs,"43,467"
-73.882394,41.189903,159,CRT,"Croton Harmon, New York",Croton-Harmon,NY,36,"Croton Harmon, New York",Croton Harmon,"43,184"
-111.648871,35.197374,177,FLG,"Flagstaff, Arizona",Flagstaff,AZ,4,"Flagstaff, Arizona",Flagstaff,"42,838"
-71.086375,42.773297,160,HHL,"Haverhill, Massachusetts",Haverhill,MA,25,"Haverhill, Massachusetts",Haverhill,"42,803"
-88.145497,41.779514,154,NPV,"Naperville, Illinois",Naperville,IL,17,"Naperville, Illinois",Naperville,"41,753"
-85.187825,42.318453,181,BTL,"Battle Creek, Michigan",Battle Creek,MI,26,"Battle Creek, Michigan",Battle Creek,"41,420"
